"AGE","MALE","IN_LABOR_FORCE","HSTOCKS","MARRIED","AGE_18_34","AGE_35_44","AGE_45_54","AGE_55_64","AGE_64_75","AGE_75_plus","RACE_white_non_hispanic","RACE_black_african_american","RACE_hispanic","RACE_other","LTHRIFT","LIRAKH","LINCOME","KNOWL","FINLIT","KNOWL_FINLIT","EDCL_no_HS","EDCL_HS_GED","EDCL_some_college","EDCL_college_degree"
42,0,1,0,0,0,1,0,0,0,0,0,1,0,0,10.4042628404486,-4.60517018598809,11.1444433284218,0,0,0,0,0,1,0
42,1,1,0,1,0,1,0,0,0,0,0,0,0,1,11.9183905730784,13.3455069287185,13.4838423945422,1,1,1,0,0,0,1
42,1,1,0,1,0,1,0,0,0,0,0,0,0,1,13.0980706848353,13.7694666194629,13.7213402593095,1,1,1,0,0,0,1
42,1,1,0,1,0,1,0,0,0,0,0,0,0,1,11.6351430976945,13.3831879956862,13.600285845271,1,1,1,0,0,0,1
42,1,1,0,1,0,1,0,0,0,0,0,0,0,1,11.6784399034478,13.4371741172444,13.7517519597331,1,1,1,0,0,0,1
42,1,1,0,1,0,1,0,0,0,0,0,0,0,1,11.8422292121128,13.7788465735927,13.5606360856742,1,1,1,0,0,0,1
50,1,1,0,0,0,0,1,0,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.8975832504897,0,0,0,0,0,0,1
50,1,1,0,0,0,0,1,0,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.8975832504897,0,0,0,0,0,0,1
50,1,1,0,0,0,0,1,0,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.8975832504897,0,0,0,0,0,0,1
50,1,1,0,0,0,0,1,0,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.8975832504897,0,0,0,0,0,0,1
50,1,1,0,0,0,0,1,0,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.8975832504897,0,0,0,0,0,0,1
49,1,1,0,1,0,0,1,0,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.5119207696843,0,0,0,1,0,0,0
49,1,1,0,1,0,0,1,0,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.6744396991848,0,0,0,1,0,0,0
49,1,1,0,1,0,0,1,0,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.6491218911922,0,0,0,1,0,0,0
49,1,1,0,1,0,0,1,0,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.8975832504897,0,0,0,1,0,0,0
49,1,1,0,1,0,0,1,0,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.2813971110563,0,0,0,1,0,0,0
55,1,1,0,1,0,0,0,1,0,0,0,0,0,1,-4.60517018598809,-4.60517018598809,10.8975832504897,0,0,0,1,0,0,0
55,1,1,0,1,0,0,0,1,0,0,0,0,0,1,-4.60517018598809,-4.60517018598809,10.8773805431843,0,0,0,1,0,0,0
55,1,1,0,1,0,0,0,1,0,0,0,0,0,1,-4.60517018598809,-4.60517018598809,10.8975832504897,0,0,0,1,0,0,0
55,1,1,0,1,0,0,0,1,0,0,0,0,0,1,-4.60517018598809,-4.60517018598809,10.8975832504897,0,0,0,1,0,0,0
55,1,1,0,1,0,0,0,1,0,0,0,0,0,1,-4.60517018598809,-4.60517018598809,10.8975832504897,0,0,0,1,0,0,0
67,0,1,0,1,0,0,0,0,1,0,1,0,0,0,15.0451511090388,15.1099637154186,15.6733397370556,1,1,1,0,0,0,1
67,0,1,0,1,0,0,0,0,1,0,1,0,0,0,15.3778568628645,14.4419836052562,15.6035033395898,1,1,1,0,0,0,1
67,0,1,0,1,0,0,0,0,1,0,1,0,0,0,14.8379614856668,14.3808243670143,15.6071134518017,1,1,1,0,0,0,1
67,0,1,0,1,0,0,0,0,1,0,1,0,0,0,14.8124591928559,15.2142274390827,15.6733397370556,1,1,1,0,0,0,1
